"","Date","ActiveCameras","Site","Status","MonthDay","Year","Active"
"372",2020-04-09,1,"MS002","Inactive","04-09","2020","0"
"373",2020-04-09,1,"MS004","Active","04-09","2020","1"
"374",2020-04-09,1,"MS007","Inactive","04-09","2020","0"
"375",2020-04-09,1,"MS016","Inactive","04-09","2020","0"
"376",2020-04-09,1,"MS017","Inactive","04-09","2020","0"
"377",2020-04-09,1,"MS021","Inactive","04-09","2020","0"
"378",2020-04-09,1,"MS023","Inactive","04-09","2020","0"
"379",2020-04-09,1,"MS024","Inactive","04-09","2020","0"
"380",2020-04-09,1,"MS026","Inactive","04-09","2020","0"
"381",2020-04-10,1,"MS001","Inactive","04-10","2020","0"
"382",2020-04-10,1,"MS002","Inactive","04-10","2020","0"
"383",2020-04-10,1,"MS004","Active","04-10","2020","1"
"384",2020-04-10,1,"MS007","Inactive","04-10","2020","0"
"385",2020-04-10,1,"MS016","Inactive","04-10","2020","0"
"386",2020-04-10,1,"MS017","Inactive","04-10","2020","0"
"387",2020-04-10,1,"MS021","Inactive","04-10","2020","0"
"388",2020-04-10,1,"MS023","Inactive","04-10","2020","0"
"389",2020-04-10,1,"MS024","Inactive","04-10","2020","0"
"390",2020-04-10,1,"MS026","Inactive","04-10","2020","0"
"391",2020-04-11,1,"MS001","Inactive","04-11","2020","0"
"392",2020-04-11,1,"MS002","Inactive","04-11","2020","0"
"393",2020-04-11,1,"MS004","Active","04-11","2020","1"
"394",2020-04-11,1,"MS007","Inactive","04-11","2020","0"
"395",2020-04-11,1,"MS016","Inactive","04-11","2020","0"
"396",2020-04-11,1,"MS017","Inactive","04-11","2020","0"
"397",2020-04-11,1,"MS021","Inactive","04-11","2020","0"
"398",2020-04-11,1,"MS023","Inactive","04-11","2020","0"
"399",2020-04-11,1,"MS024","Inactive","04-11","2020","0"
"400",2020-04-11,1,"MS026","Inactive","04-11","2020","0"
"401",2020-04-12,1,"MS001","Inactive","04-12","2020","0"
"402",2020-04-12,1,"MS002","Inactive","04-12","2020","0"
"403",2020-04-12,1,"MS004","Active","04-12","2020","1"
"404",2020-04-12,1,"MS007","Inactive","04-12","2020","0"
"405",2020-04-12,1,"MS016","Inactive","04-12","2020","0"
"406",2020-04-12,1,"MS017","Inactive","04-12","2020","0"
"407",2020-04-12,1,"MS021","Inactive","04-12","2020","0"
"408",2020-04-12,1,"MS023","Inactive","04-12","2020","0"
"409",2020-04-12,1,"MS024","Inactive","04-12","2020","0"
"410",2020-04-12,1,"MS026","Inactive","04-12","2020","0"
"411",2020-04-13,1,"MS001","Inactive","04-13","2020","0"
"412",2020-04-13,1,"MS002","Inactive","04-13","2020","0"
"413",2020-04-13,1,"MS004","Active","04-13","2020","1"
"414",2020-04-13,1,"MS007","Inactive","04-13","2020","0"
"415",2020-04-13,1,"MS016","Inactive","04-13","2020","0"
"416",2020-04-13,1,"MS017","Inactive","04-13","2020","0"
"417",2020-04-13,1,"MS021","Inactive","04-13","2020","0"
"418",2020-04-13,1,"MS023","Inactive","04-13","2020","0"
"419",2020-04-13,1,"MS024","Inactive","04-13","2020","0"
"420",2020-04-13,1,"MS026","Inactive","04-13","2020","0"
"421",2020-04-14,1,"MS001","Inactive","04-14","2020","0"
"422",2020-04-14,1,"MS002","Inactive","04-14","2020","0"
"423",2020-04-14,1,"MS004","Active","04-14","2020","1"
"424",2020-04-14,1,"MS007","Inactive","04-14","2020","0"
"425",2020-04-14,1,"MS016","Inactive","04-14","2020","0"
"426",2020-04-14,1,"MS017","Inactive","04-14","2020","0"
"427",2020-04-14,1,"MS021","Inactive","04-14","2020","0"
"428",2020-04-14,1,"MS023","Inactive","04-14","2020","0"
"429",2020-04-14,1,"MS024","Inactive","04-14","2020","0"
"430",2020-04-14,1,"MS026","Inactive","04-14","2020","0"
"431",2020-04-15,1,"MS001","Inactive","04-15","2020","0"
"432",2020-04-15,1,"MS002","Inactive","04-15","2020","0"
"433",2020-04-15,1,"MS004","Active","04-15","2020","1"
"434",2020-04-15,1,"MS007","Inactive","04-15","2020","0"
"435",2020-04-15,1,"MS016","Inactive","04-15","2020","0"
"436",2020-04-15,1,"MS017","Inactive","04-15","2020","0"
"437",2020-04-15,1,"MS021","Inactive","04-15","2020","0"
